,Threshold,FP Rate,TP Rate,FAR,FRR,Accuracy
89,0.179,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
90,0.181,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
91,0.183,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
92,0.185,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
93,0.187,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
94,0.189,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
95,0.191,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
96,0.193,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
97,0.195,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
98,0.197,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
99,0.199,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
100,0.201,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
101,0.203,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
102,0.205,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
103,0.207,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
104,0.209,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
105,0.211,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
106,0.213,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
107,0.215,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
